Name,Date,PDF Url,Description
Christopher Dantin d/b/a Chris Dantin Financial Services LLC,12/21/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/122121%20Dantin%20CAO_Redacted.pdf,"Christopher Dantin d/b/a Chris Dantin Financial Services LLC of Baton Rouge, Louisiana has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
"Spring EQ, LLC",12/07/2021,"https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/120721%20Spring%20EQ,%20LLC%20CAO_Redacted.pdf","Spring EQ, LLC of Philadelphia, PA has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"The Insight Advisory Group, LLC, d/b/a Insight Total Stewardship and Shayna Harvey",11/30/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/113021%20The%20Insight%20Advisory%20Group%20CAO_Redacted.pdf,"The Insight Advisory Group, LLC, d/b/a Insight Total Stewardship and Shayna Harvey of Havertown, PA have entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
"Expand Financial Group, LLC",11/15/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/111521%20Expand%20Financial%20Group%20CAO_Redacted.pdf,"Expand Financial Group, LLC of Texas has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
Academy Mortgage Corporation,10/25/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/102521%20Academy%20Mortgage%20Corporation%20CAO_Redacted.pdf,"Academy Mortgage Corporation of Draper, UT has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"Jonathan Lee d/b/a L&F, Incorporated",10/19/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/101921%20Jonathan%20Lee%20dba%20LF%20Inc%20CAO_Redacted.pdf,"Jonathan Lee d/b/a L&F, Incorporated has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
"LenderFi, Inc.",10/18/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/101821%20LendFi%20CAO_Redacted.pdf,"LenderFi, Inc. of Delray Beach, FL FL has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"ResMac, Inc.",10/12/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/101221%20Resmac%20CAO_Redacted.pdf,"ResMac, Inc. of Delray Beach, FL has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
Luxury Mortgage Corp.,10/05/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/100521%20Luxury%20Mortgage%20CAO_Redacted.pdf,"Luxury Mortgage Corp. of Stamford, CT has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"Legacy Advisory Group, Inc., LWM Income Fund, LLC and LWM Equity Fund, L.P.",09/30/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/093021%20Legacy%20Advisory%20Group%20CAO_Redacted.pdf,"Legacy Advisory Group, Inc., LWM Income Fund, LLC and LWM Equity Fund, L.P. of Hermitage, PA has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
"ResiCentral, LLC",09/27/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/092721%20Resicentral%20CAO_Redacted.pdf,"ResiCentral, LLC of Tempe, AZ has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"G. Earl Mowrey & Co., LLC and George Earl Mowrey",09/27/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/092721%20Mowrey%20OSC_Redacted.pdf,"On September 27, 2021, DoBS issued an Order to Show Cause naming G. Earl Mowrey & Co., LLC and George Earl Mowrey for violations of the Pennsylvania Securities Act of 1972."
"International City Mortgage, Inc.",09/27/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/092721%20International%20City%20Mortgage%20CAO_Redacted.pdf,"International City Mortgage, Inc. of Santa Ana, CA has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
High Level Auto,09/20/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/092021%20High%20Level%20Auto%20CAO_Redacted.pdf,"High Level Auto of Homestead, PA has entered into a Consent Agreement and Order and will refund consumers and pay a fine for violations of the Consumer Credit Code."
Watermark Capital Inc.,09/14/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/091421%20Watermark%20Capital%20CAO_Redacted.pdf,"Watermark Capital Inc. of Irvine, CA has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
Paul Long,09/07/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/090721%20Paul%20Long%20CAO_Redacted.pdf,Paul Long has entered into a Consent Agreement and Order with a temporary license suspension and will pay a fine for violations of the Mortgage Licensing Act.
"Mortgage Network Solutions, Inc.",09/07/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/090721%20Mortgage%20Network%20Solutions%20CAO_Redacted.pdf,"Mortgage Network Solutions, Inc. of Wilmington, DE has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"Mortgage Capital Partners, Inc.",09/07/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/090721%20Mortgage%20Capital%20Partners%20CAO_Redacted.pdf,"Mortgage Capital Partners, Inc. of Los Angeles, CA has entered into a Consent Agreement and Order and will take corrective action and pay a fine for violations of the Mortgage Licensing Act."
"Cresap, Inc.",09/07/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/090721%20Cresap%20CAO_Redacted.pdf,"Cresap, Inc. of Radnor, PA has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
RTM Processing LLC,08/30/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/083021%20RTM%20CAO_Redacted.pdf,RTM Processing LLC has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act.
"PTK Financial, LLC, Capricorn Income Fund I, LLC, Paul Terrence Kohler and Albert Vagnozzi",08/30/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/083021%20PTK%20Financial%20CAO_Redacted.pdf,"PTK Financial, LLC, Capricorn Income Fund I, LLC, Paul Terrence Kohler and Albert Vagnozzi, of Media, PA has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
Jocelyn Wright,08/23/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/082321%20Jocelyn%20Wright%20Order%20to%20Vacate_Redacted.pdf,"On August 23, 2021, DoBS issued an Order to Vacate Order to Show Cause for Jocelyn Wright."
"Uphold HQ, Inc.",08/23/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/082321%20Uphold%20HQ%20CAO_Redacted.pdf,"Uphold HQ, Inc., of New York, NY has entered into a Consent Agreement and Order and will pay a fine and take corrective action for violations of the Money Transmitter Act."
Thomas McDevitt,08/23/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/082321%20Thomas%20McDevitt%20CAO_Redacted.pdf,Thomas McDevitt has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972.
