Name,Date,PDF Url,Description
ADA Cars LLC,12/29/2022,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2022/122922%20ADA%20Cars%20LLC%20Suspension%20Order_Redacted.pdf,"On December 29, 2022, the DOBS issued a Suspension Order naming ADA Cars LLC for violations of the Consumer Credit Code."
Berkal LLC,12/29/2022,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2022/122922%20Berkal%20LLC%20Suspension%20Order_Redacted.pdf,"On December 29, 2022, the DOBS issued a Suspension Order naming Berkal LLC for violations of the Consumer Credit Code."
"ADV, LLC and G2BIO, LLC",12/27/2022,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2022/122722%20ADV%20CAO_Redacted.pdf,"ADV, LLC and G2BIO, LLC have entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
"Ark-La-Tex Financial Services, LLC",12/22/2022,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2022/122222%20Ark-La-Tex%20Financial%20Services%20CAO_Redacted.pdf,"Ark-La-Tex Financial Services, LLC of Plano, TX has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"Kreated Solutions, LLC and Jonathan Drummond, individually",12/12/2022,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2022/121222%20Kreated%20Solutions%20CD_Redacted.pdf,"On December 12, 2022, the DOBS issued an Order to Cease and Desist naming Kreated Solutions, LLC and Jonathan Drummond, individually for violations of the Mortgage Licensing Act."
Fame RV Center,12/09/2022,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2022/120922%20Fame%20RV%20Center%20CAO_Redacted.pdf,"Fame RV Center of Saegertown, PA has entered into a Consent Agreement and Order and will pay a fine for violations of the Consumer Credit Code."
Samco Financial Services Corp,12/09/2022,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2022/120922%20Samco%20Financial%20CAO_Redacted.pdf,"Samco Financial Services Corp of Warrensville Heights, OH has entered into a Consent Agreement and Order and will pay a fine and take corrective action for violations of the Check Casher Licensing Act."
"American Bancshares Mortgage, LLC",12/06/2022,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2022/120622%20American%20Bancshares%20CAO_Redacted.pdf,"American Bancshares Mortgage, LLC of Miami Lakes, FL has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
Rapid Mortgage Funding Inc.,12/05/2022,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2022/120522%20Rapid%20Mortgage%20Funding%20CAO_Redacted.pdf,"Rapid Mortgage Funding Inc. of Bingham Farms, MI has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
West Realm Shires Services Inc. d/b/a FTX US,11/23/2022,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2022/112322%20West%20Realm%20Shires%20Services%20CAO_Redacted.pdf,West Realm Shires Services Inc. d/b/a FTX has entered into a Consent Agreement and Order agreeing to a suspension of their Money Transmitter license.
